;Description;Price;;;
1;2J2-W2472-01-00;—;Show;;
;Double Seat Assembly (2J2-24730;;;;
;2J2-24730;;;;
2;2J2-24731-00-00;—;Show;;
;Cover, Double Seat;;;;
;replacement;;;;
;999-99999-99-00;—;Show;;
;Not Available;;;;
3;2J2-24756-00-JX;—;Show;;
;Cover, Tail;;;;
4;2J2-24723-00-00;from US $14.17;Show;;
;Damper, Seat;;;;
5;2J2-24724-01-00;from US $34.29;Show;;
;Damper, Seat;;;;
6;929-95061-00-00;from US $0.97;Show;;
;Washer, Spring;;;;
7;970-11060-10-00;—;Show;;
;Bolt;;;;
;replacement;;;;
;97017-06010-00;from US $1.66;Show;;
;Bolt;;;;
8;97313-05012-00;from US $1.53;Show;;
;Bolt, Hexagon;;;;
;replacement;;;;
;97013-05012-00;from US $1.57;Show;;
;Bolt;;;;
9;92990-05100-00;from US $1.21;Show;;
;Washer, Spring;;;;
10;929-01056-00-00;—;Show;;
;Washer;;;;
;replacements;;;;
;92990-05600-00;from US $1.07;Show;;
;Washer, Plate;;;;
;92907-05600-00;from US $1.02;Show;;
;Washer, Plate;;;;
11;970-21060-30-00;—;Show;;
;Bolt;;;;
;replacements;;;;
;97017-06030-00;from US $1.07;Show;;
;Bolt;;;;
;970-17060-25-00;from US $1.52;Show;;
;Bolt;;;;
12;929-95061-00-00;from US $0.97;Show;;
;Washer, Spring;;;;
13;90201-06074-00;from US $1.66;Show;;
;Washer, Plate;;;;
14;2J2-24737-00-00;from US $6.94;Show;;
;Damper, Seat;;;;
15;90387-06554-00;from US $6.09;Show;;
;Collar, Lever 1;;;;
;replacement;;;;
;36Y-83913-01-00;from US $6.09;Show;;
;Collar, Lever 1;;;;
16;90101-08439-00;from US $3.13;Show;;
;Bolt;;;;
17;92990-08100-00;from US $1.36;Show;;
;Ybs67-8 Washer, Spring;;;;
18;99235-00025-00;from US $11.68;Show;;
;Emblem, Yamaha;;;;
;replacement;;;;
;99245-00100-00;from US $11.63;Show;;
;Emblem, Yamaha;;;;
;;;;;
