;Description;Price;;;
1;2J2-18103-00-00;from US $67.15;Show;;
;Shaft, Shift;;;;
2;90149-06017-00;from US $4.96;Show;;
;"Screw, Spec&#39;&#39;l Shape (214-18186";;;;
3;95380-06600-00;from US $1.18;Show;;
;Nut, Hexagon;;;;
4;90508-32052-00;from US $6.09;Show;;
;Spring, Torsion (214-18124-00);;;;
5;90215-06016-00;from US $1.84;Show;;
;Washer, Lock;;;;
6;929-95061-00-00;from US $0.97;Show;;
;Washer, Spring;;;;
7;278-18127-00-00;from US $8.50;Show;;
;Stopper, Screw;;;;
;replacement;;;;
;278-18127-01-00;from US $8.50;Show;;
;Stopper, Screw;;;;
8;90215-08115-00;from US $1.70;Show;;
;Washer, Lock;;;;
9;93109-14010-00;from US $5.40;Show;;
;Oil Seal, Sdo-Type;;;;
10;90201-14220-00;from US $1.56;Show;;
;Washer Plate 248181370000;;;;
11;99001-12600-00;from US $1.56;Show;;
;Circlip;;;;
12;583-18131-00-00;from US $10.06;Show;;
;Boot, Sealing;;;;
13;2J2-18111-01-00;from US $57.34;Show;;
;Pedal, Shift;;;;
14;132-18113-01-00;from US $1.70;Show;;
;Cover, Shift Pedal;;;;
15;970-11060-20-00;—;Show;;
;P57 Bolt (1Lv);;;;
;replacement;;;;
;970-17060-20-00;from US $1.16;Show;;
;Bolt;;;;
;;;;;
