Carburetor Part list,,,,,
1,Carburetor Assembly 1,1,—,out of production,
,3H1-14101-00-00,,,,
2,"Washer, Plate",1,0.005 kg,JP¥111,
,92990-05100-00,,,US$0.70,
3,BOLT,1,—,part number changed,
,2V0-14592-00-00,,,,
,BOLT,,—,not available,
,999-99999-99-00,,,,
4,Bracket 2,1,—,out of production,
,3H1-14292-00-00,,,,
5,"Screw, Pan Head",2,—,part number changed,
,98511-04012-00,,,,
,"Screw, Pan Head",,0.003 kg,JP¥95,
,98517-04012-00,,,US$0.60,
6,"Top, Mixing Chamber",1,—,out of production,
,3H1-14158-00-00,,,,
7,"Washer, Needle Valve",1,—,"JP¥3,400",
,583-14536-00-00,,,US$21.45,
8,"Valve, Throttle 1",1,—,part number changed,
,3H1-14112-35-00,,,,
,"Valve, Throttle 1",,—,not available,
,999-99999-99-00,,,,
9,"Screw, Pan Head",3,—,part number changed,
,98511-04025-00,,,,
,"Screw, Pan Head",,0.01 kg,JP¥111,
,98517-04025-00,,,US$0.70,
10,"Washer, Plate",3,—,part number changed,
,92901-04100-00,,,,
,"Washer, Plate",,0.001 kg,JP¥111,
,92990-04100-00,,,US$0.70,
11,"Washer, Needle Valve",1,—,"JP¥2,982",
,2H0-14198-00-00,,,US$18.81,
12,Bracket 1,1,—,out of production,
,3H1-14291-00-00,,,,
13,??????? ?????????,1,—,part number changed,
,1T2-14933-00-00,,,,
,??????? ?????????,,—,not available,
,999-99999-99-00,,,,
14,"Washer, Plate",1,—,part number changed,
,583-14558-00-00,,,,
,"Washer, Plate",,—,not available,
,999-99999-99-00,,,,
15,. PIN,1,—,part number changed,
,583-14386-00-00,,,,
,. PIN,,—,not available,
,999-99999-99-00,,,,
16,"Washer, Plate",1,—,part number changed,
,583-14951-00-00,,,,
,"Washer, Plate",,—,not available,
,999-99999-99-00,,,,
17,"Screw, Pan Head",1,—,part number changed,
,3H1-14216-00-00,,,,
,"Screw, Pan Head",,—,not available,
,999-99999-99-00,,,,
18,SPACER,1,—,out of production,
,583-14264-00-00,,,,
19,"Screw, Pan Head",2,—,part number changed,
,98503-04014-00,,,,
,"Screw, Pan Head",,0.005 kg,JP¥122,
,98580-04014-00,,,US$0.77,
20,. CONNECTOR,1,—,part number changed,
,583-14274-00-00,,,,
,. CONNECTOR,,—,not available,
,999-99999-99-00,,,,
21,?????,1,—,part number changed,
,583-14239-01-00,,,,
,?????,,—,not available,
,999-99999-99-00,,,,
22,COLLAR,1,—,part number changed,
,583-14265-00-00,,,,
,COLLAR,,—,not available,
,999-99999-99-00,,,,
23,??? ????????,1,—,part number changed,
,3H1-14215-00-00,,,,
,??? ????????,,—,not available,
,999-99999-99-00,,,,
24,"Washer, Plate",1,0.003 kg,JP¥132,
,92990-08100-00,,,US$0.83,
25,"Nut, flange",1,—,JP¥180,
,812-14594-00-00,,,US$1.14,
26,"Screw, Pan Head",1,—,part number changed,
,98502-06014-00,,,,
,"Screw, Pan Head",,0.004 kg,JP¥95,
,98507-06014-00,,,US$0.60,
27,RING,1,—,part number changed,
,2J2-14194-00-00,,,,
,RING,,—,not available,
,999-99999-99-00,,,,
28,WASHER,1,—,part number changed,
,2J2-14962-00-00,,,,
,WASHER,,—,not available,
,999-99999-99-00,,,,
29,"Plate, Starter Lvr",1,—,out of production,
,2H0-14178-00-00,,,,
30,??????? ????????,1,—,part number changed,
,2H0-14218-00-00,,,,
,??????? ????????,,—,not available,
,999-99999-99-00,,,,
31,"Lever, Starter 1",1,—,part number changed,
,2H0-14175-00-00,,,,
,"Lever, Starter 1",,—,not available,
,999-99999-99-00,,,,
32,Ball,1,0.01 kg,JP¥176,
,93501-08001-00,,,US$1.11,
33,"Spring, Pilot Adjusting",1,—,JP¥991,
,583-14589-00-00,,,US$6.25,
34,Pump Body Assembly,1,—,"JP¥7,679",
,2H0-14217-00-00,,,US$48.44,
35,"Spring, Diaphragm",1,—,part number changed,
,3H6-14933-00-00,,,,
,"Spring, Diaphragm",,—,not available,
,999-99999-99-00,,,,
36,?????? ?????????,1,—,part number changed,
,2H0-14958-00-00,,,,
,?????? ?????????,,—,not available,
,999-99999-99-00,,,,
37,"Spring, Pilot Adjusting",1,—,part number changed,
,3H1-14589-00-00,,,,
,"Spring, Pilot Adjusting",,—,not available,
,999-99999-99-00,,,,
38,"Washer, Plate",1,—,quote request,
,2N6-14227-01-00,,,,
39,CLIP,1,—,part number changed,
,164-14137-00-00,,,,
,CLIP,,—,JP¥243,
,3FA-14137-00-00,,,US$1.53,
40,RING,1,—,out of production,
,2N6-14918-01-00,,,,
41,Needle,1,—,out of production,
,644-14116-31-00,,,,
42,PLATE,1,—,"JP¥1,221",
,2H0-14146-00-00,,,US$7.70,
43,"Screw, Pan Head",1,—,part number changed,
,98511-04006-00,,,,
,"Screw, Pan Head",,0.001 kg,JP¥132,
,98517-04006-00,,,US$0.83,
,"Screw, Pan Head",,0.005 kg,JP¥122,
,98517-04016-00,,,US$0.77,
44,CLIP,1,—,JP¥154,
,737-14137-00-00,,,US$0.97,
45,RING,1,—,out of production,
,583-14918-00-00,,,,
46,"Cover, Plunger Cap",1,—,out of production,
,3H1-14173-00-00,,,,
47,"Cap, Plunger",1,—,part number changed,
,2H0-14174-00-00,,,,
,"Cap, Plunger",,—,not available,
,999-99999-99-00,,,,
48,"Washer, Needle Valve",1,—,out of production,
,583-14562-00-00,,,,
49,??????? ???????????,1,—,quote request,
,256-14135-00-00,,,,
50,????? ?????????,1,—,part number changed,
,2H0-14171-00-00,,,,
,????? ?????????,,—,not available,
,999-99999-99-00,,,,
