;Description;Price;;;
1;2J2-23101-01-00;—;Show;;
;Front Fork Assembly;;;;
2;2F0-23126-00-00;—;Show;;
;Tube, Outer 1;;;;
3;2F0-23136-00-00;—;Show;;
;Tube, Outer 2;;;;
4;1T3-23145-00-00;from US $6.06;Show;;
;Oil Seal;;;;
;replacement;;;;
;93110-35019-00;from US $14.59;Show;;
;Oil Seal;;;;
5;341-23146-50-00;from US $10.58;Show;;
;Washer, Oil Seal;;;;
6;341-23156-50-00;from US $19.69;Show;;
;Clip, Oil Seal;;;;
7;90116-08261-00;from US $1.33;Show;;
;Bolt, Stud;;;;
8;1W1-23173-L0-00;from US $24.65;Show;;
;Taper Spindle;;;;
9;2F0-23110-00-00;from US $253.21;Show;;
;Inner Tube 1;;;;
10;2F0-23151-00-00;—;Show;;
;Spring, Rebound;;;;
11;2F0-23157-00-00;from US $7.74;Show;;
;Ring, Piston Frtfrk;;;;
12;2J2-23170-00-00;—;Show;;
;Cylinder, Frtfrk;;;;
13;2J2-23141-00-00;—;Show;;
;Spring, Front Fork;;;;
14;1T3-23144-50-00;from US $32.09;Show;;
;Seal, Dust;;;;
15;256-23142-60-00;—;Show;;
;Seat, Spring Upper;;;;
16;33Y-23118-00-00;—;Show;;
;Spacer;;;;
17;2F0-23114-00-00;from US $6.38;Show;;
;Gasket;;;;
18;1T3-23111-50-00;from US $41.74;Show;;
;Bolt, Cap;;;;
19;1T3-23168-50-00;from US $9.90;Show;;
;Cap, Front Fork;;;;
20;2J4-23340-30-33;US $242.39;Show;;
;Under Bracket;;;;
21;18G-23128-00-00;from US $7.37;Show;;
;Bolt, With Washer;;;;
22;341-23167-50-00;from US $46.97;Show;;
;Holder, Axle;;;;
23;929-01086-00-00;—;Show;;
;Washer;;;;
;replacement;;;;
;92990-08600-00;from US $1.36;Show;;
;Washer, Plate;;;;
24;901-85080-89-00;—;Show;;
;Nut, Self-Locking;;;;
;replacement;;;;
;95617-08100-00;from US $3.26;Show;;
;Nut, U;;;;
25;509-23158-L0-00;from US $4.03;Show;;
;Gasket;;;;
26;278-23181-50-00;—;Show;;
;Bolt, Hexagon Socket Head;;;;
;replacement;;;;
;3D8-23181-00-00;from US $5.41;Show;;
;Bolt, Hexagon Socket Head;;;;
27;122-23129-00-00;from US $3.26;Show;;
;Gasket, Drain Plug;;;;
28;4H7-23119-00-00;—;Show;;
;Screw, Pan Head;;;;
;replacements;;;;
;98517-04006-00;from US $1.28;Show;;
;Screw, Pan Head;;;;
;985-11040-06-00;—;Show;;
;Screw, Pan Head (98502-04006);;;;
29;2J2-23121-03-33;US $41.59;Show;;
;Cover, Upper 1;;;;
;replacement;;;;
;2J2-23121-04-00;from US $41.59;Show;;
;Cover, Upper 1;;;;
30;2J2-23131-01-93;—;Show;;
;Stay, Headlight Upper;;;;
;CHROME PLATED;;;;
;replacement;;;;
;999-99999-99-00;—;Show;;
;Not Available;;;;
;CHROME PLATED;;;;
31;2J2-23174-01-93;—;Show;;
;Stay, Headlight;;;;
32;90480-14052-00;from US $1.39;Show;;
;Grommet;;;;
33;903-87062-16-00;—;Show;;
;Collar;;;;
;replacement;;;;
;90387-060A3-00;from US $1.63;Show;;
;Collar (3H5);;;;
34;90201-06067-00;from US $1.28;Show;;
;Washer, Plate;;;;
;replacement;;;;
;90201-06380-00;from US $0.86;Show;;
;Washer Plain;;;;
35;970-11060-20-00;—;Show;;
;P57 Bolt (1Lv);;;;
;replacement;;;;
;970-17060-20-00;from US $1.16;Show;;
;Bolt;;;;
36;929-95061-00-00;from US $0.97;Show;;
;Washer, Spring;;;;
;;;;;
