Magneto Part list,,,,,
1,Ac Magnet Gen Assembly,1,—,"JP¥111,101",
,4R8-81400-50-00,,,US$700.78,
2,???????,1,—,out of production,
,2J2-81416-50-00,,,,
3,"Screw, Pan Head",1,0.01 kg,JP¥297,
,98580-05035-00,,,US$1.87,
4,"Washer, Plate",1,0.005 kg,JP¥111,
,92990-05100-00,,,US$0.70,
5,"Washer, Plate",1,—,part number changed,
,92901-05600-00,,,,
,"Washer, Plate",,0.005 kg,JP¥95,
,92907-05600-00,,,US$0.60,
,"Washer, Plate",,0.002 kg,JP¥95,
,92990-05600-00,,,US$0.60,
6,"Screw, Pan Head",3,0.01 kg,part number changed,
,98503-06014-00,,,,
,"Screw, Pan Head",,0.004 kg,JP¥95,
,98507-06014-00,,,US$0.60,
