;Description;Price;;;
1;2J2-12111-01-00;from US $37.04;Show;;
;Valve, Intake;;;;
2;583-12121-00-00;from US $175.75;Show;;
;Valve, Exhaust;;;;
3;90501-31454-00;from US $7.65;Show;;
;Spring, Compression;;;;
4;90501-44455-00;from US $11.37;Show;;
;Spring, Compression;;;;
5;256-12116-01-00;—;Show;;
;Seat, Valve Spring;;;;
6;341-12119-02-00;from US $7.76;Show;;
;Seal, Valve Stem;;;;
7;256-12117-02-00;from US $14.17;Show;;
;Retainer, Valve Spr;;;;
8;341-12118-00-00;from US $4.39;Show;;
;Cotter, Valve;;;;
9;583-12151-00-00;from US $149.94;Show;;
;Arm, Valve Rocker;;;;
10;583-12156-01-00;from US $28.19;Show;;
;Shaft, Rocker 2;;;;
;replacement;;;;
;583-12156-02-00;from US $28.19;Show;;
;Shaft, Rocker 2;;;;
11;901-49080-98-00;from US $14.94;Show;;
;Screw,valve Adj;;;;
;replacement;;;;
;3HT-12159-R0-00;from US $15.58;Show;;
;Screw, Valve Adjusting;;;;
12;90170-08173-00;from US $1.39;Show;;
;Nut;;;;
;;;;;
